keyword,tfidf_score
experience,3.537034773179563
team,3.190389109584091
work,3.0326897877587977
marketing,2.4153277940536078
creative,2.136205650257063
support,2.127874133713277
development,2.076589319938279
game,2.042140345277048
company,1.8881446247323697
gaming,1.8392994616968479
skill,1.7555084015440374
working,1.744779878512074
customer,1.7189105204190729
brand,1.7003507882308437
role,1.664941242598491
project,1.6630678571133422
environment,1.6521151758421606
partner,1.399699120749701
building,1.3862216412762494
strong,1.3677989570400229
industry,1.3198073828946073
data,1.3159691659253154
application,1.2782095641516704
ensuring,1.2396301445446978
english,1.2275586869215873
opportunity,1.2258204608684062
germany,1.2184699073009029
job,1.2085896665584064
benefit,1.1983268426547031
find,1.1851676041270254
year,1.169981304469237
culture,1.165205583221418
growth,1.1434509380009727
identity,1.1426462333243468
drive,1.0984996497786375
point,1.096143178923942
across,1.0888511729608177
risk,1.03911599930494
join,1.0360262037717127
management,1.0236991900521424
people,0.9918198229637291
arbeitnow,0.9441948971410161
collaboration,0.8924889042930437
wolt,0.8869480360241306
professional,0.8527059756691187
business,0.8120960991215126
strategic,0.8005815390102078
impact,0.766517869972424
strategy,0.7188168934154082
restaurant,0.5710929165794953
